country,year,attack_type,target_industry,financial_loss_in_million,number_of_affected_users,attack_source,security_vulnerability_type,defense_mechanism_used,incident_resolution_time_in_hours,severity_score
China,2019,Phishing,Education,80.53,773169,Hacker Group,Unpatched Software,VPN,63,773249.53
China,2019,Ransomware,Retail,62.19,295961,Hacker Group,Unpatched Software,Firewall,71,296023.19
India,2017,Man-in-the-Middle,IT,38.65,605895,Hacker Group,Weak Passwords,VPN,20,605933.65
UK,2024,Ransomware,Telecommunications,41.44,659320,Nation-state,Social Engineering,AI-based Detection,7,659361.44
Germany,2018,Man-in-the-Middle,IT,74.41,810682,Insider,Social Engineering,VPN,68,810756.41
Germany,2017,Man-in-the-Middle,Retail,98.24,285201,Unknown,Social Engineering,Antivirus,25,285299.24
Germany,2016,DDoS,Telecommunications,33.26,431262,Insider,Unpatched Software,VPN,34,431295.26
France,2018,SQL Injection,Government,59.23,909991,Unknown,Social Engineering,Antivirus,66,910050.23
India,2016,Man-in-the-Middle,Banking,16.88,698249,Unknown,Social Engineering,VPN,47,698265.88
UK,2023,DDoS,Healthcare,69.14,685927,Hacker Group,Unpatched Software,Firewall,58,685996.14
China,2019,Phishing,Telecommunications,88.67,493675,Unknown,Zero-day,VPN,29,493763.67
China,2016,SQL Injection,Healthcare,38.81,920768,Hacker Group,Unpatched Software,AI-based Detection,27,920806.81
India,2019,Ransomware,Education,30.56,583204,Insider,Zero-day,Firewall,37,583234.56
France,2023,DDoS,Healthcare,58.37,599797,Nation-state,Unpatched Software,AI-based Detection,35,599855.37
France,2024,DDoS,IT,48.01,922258,Unknown,Social Engineering,Encryption,64,922306.01
Australia,2022,Phishing,Banking,64.31,120789,Nation-state,Zero-day,Encryption,36,120853.31
Russia,2017,Man-in-the-Middle,Healthcare,13.04,850158,Hacker Group,Unpatched Software,AI-based Detection,67,850171.04
India,2015,DDoS,IT,93.14,805278,Insider,Social Engineering,Encryption,56,805371.14
UK,2019,Malware,Telecommunications,14.01,578443,Insider,Social Engineering,Firewall,28,578457.01
India,2016,DDoS,IT,36.45,261808,Nation-state,Social Engineering,AI-based Detection,6,261844.45
Brazil,2015,Ransomware,Retail,49.55,920172,Hacker Group,Weak Passwords,Antivirus,43,920221.55
France,2023,Ransomware,Education,17.72,261661,Insider,Social Engineering,VPN,11,261678.72
India,2017,DDoS,Government,76.71,246205,Nation-state,Unpatched Software,Firewall,30,246281.71
Japan,2022,Phishing,Telecommunications,20.42,186148,Nation-state,Weak Passwords,Antivirus,32,186168.42
Brazil,2023,DDoS,Telecommunications,51.84,699007,Hacker Group,Social Engineering,VPN,30,699058.84
China,2021,Phishing,Retail,51.06,628562,Insider,Zero-day,AI-based Detection,52,628613.06
Japan,2022,Malware,Education,53.04,570494,Nation-state,Unpatched Software,VPN,53,570547.04
Japan,2022,Ransomware,Banking,26.17,937653,Insider,Unpatched Software,Encryption,24,937679.17
France,2020,Malware,IT,87.32,599757,Unknown,Social Engineering,Antivirus,9,599844.32
Australia,2015,DDoS,Government,82.7,904805,Hacker Group,Zero-day,Encryption,61,904887.7
UK,2022,SQL Injection,Education,66.24,678876,Hacker Group,Social Engineering,AI-based Detection,11,678942.24
France,2020,Malware,Telecommunications,18.38,246900,Hacker Group,Zero-day,AI-based Detection,34,246918.38
India,2015,SQL Injection,IT,42.99,85255,Unknown,Unpatched Software,Encryption,61,85297.99
Japan,2022,Phishing,Banking,98.47,972469,Nation-state,Zero-day,Antivirus,21,972567.47
Brazil,2023,Phishing,Healthcare,14.51,113777,Nation-state,Weak Passwords,VPN,27,113791.51
Brazil,2020,Phishing,Banking,17.75,739540,Hacker Group,Zero-day,Encryption,31,739557.75
China,2020,Man-in-the-Middle,Education,19.81,722788,Nation-state,Zero-day,Firewall,70,722807.81
Japan,2021,SQL Injection,Retail,82.52,214372,Insider,Unpatched Software,Encryption,12,214454.52
USA,2022,DDoS,Retail,32.53,235314,Insider,Weak Passwords,AI-based Detection,62,235346.53
Brazil,2016,DDoS,Education,96.98,140812,Nation-state,Unpatched Software,VPN,71,140908.98
Russia,2015,DDoS,Telecommunications,96.39,238356,Unknown,Zero-day,AI-based Detection,3,238452.39
India,2021,SQL Injection,IT,98.09,826976,Nation-state,Zero-day,VPN,57,827074.09
UK,2019,Man-in-the-Middle,Retail,39.77,757694,Nation-state,Unpatched Software,Encryption,69,757733.77
USA,2017,DDoS,IT,74.12,403108,Hacker Group,Zero-day,VPN,64,403182.12
Australia,2020,DDoS,Banking,92.95,942890,Insider,Weak Passwords,Antivirus,19,942982.95
France,2022,Malware,Healthcare,20.33,794906,Unknown,Weak Passwords,AI-based Detection,36,794926.33
Australia,2016,SQL Injection,Government,27.33,481293,Hacker Group,Unpatched Software,Antivirus,65,481320.33
India,2016,DDoS,Education,21.01,602692,Hacker Group,Unpatched Software,VPN,29,602713.01
UK,2018,Man-in-the-Middle,Retail,13.66,455529,Hacker Group,Zero-day,Firewall,40,455542.66
Japan,2017,Phishing,Telecommunications,75.84,383395,Hacker Group,Zero-day,VPN,31,383470.84
USA,2023,DDoS,Retail,59.69,113612,Hacker Group,Zero-day,VPN,70,113671.69
Australia,2019,Malware,Government,21.72,984411,Insider,Unpatched Software,Antivirus,17,984432.72
UK,2015,Phishing,IT,85.58,17229,Hacker Group,Weak Passwords,AI-based Detection,30,17314.58
France,2018,Phishing,Healthcare,75.11,581303,Insider,Social Engineering,Encryption,51,581378.11
India,2019,Man-in-the-Middle,Education,10.8,799474,Nation-state,Zero-day,AI-based Detection,23,799484.8
India,2020,DDoS,Banking,86.27,898655,Nation-state,Unpatched Software,AI-based Detection,10,898741.27
UK,2021,Malware,Healthcare,67.1,698852,Unknown,Weak Passwords,Antivirus,57,698919.1
India,2018,DDoS,Healthcare,76.43,304162,Hacker Group,Unpatched Software,Firewall,56,304238.43
Brazil,2015,Phishing,Banking,43.4,191625,Hacker Group,Social Engineering,VPN,65,191668.4
Australia,2024,Phishing,Education,93.32,93185,Unknown,Unpatched Software,VPN,14,93278.32
India,2019,Phishing,Healthcare,35.6,40718,Nation-state,Zero-day,VPN,24,40753.6
China,2015,Phishing,Government,42.73,310574,Nation-state,Zero-day,Firewall,65,310616.73
India,2024,DDoS,Education,73.37,475719,Nation-state,Social Engineering,Firewall,52,475792.37
UK,2018,Malware,Retail,73.18,404060,Unknown,Weak Passwords,Antivirus,32,404133.18
China,2024,Malware,Education,72.35,132726,Hacker Group,Zero-day,Firewall,55,132798.35
UK,2016,DDoS,Banking,87.68,336376,Nation-state,Social Engineering,Firewall,11,336463.68
Australia,2022,Malware,Healthcare,67.16,566437,Unknown,Weak Passwords,Encryption,63,566504.16
Russia,2017,Man-in-the-Middle,Education,83.43,313631,Nation-state,Weak Passwords,Antivirus,16,313714.43
France,2016,DDoS,Banking,28.66,996004,Unknown,Zero-day,VPN,28,996032.66
China,2021,Phishing,Healthcare,55.04,871600,Insider,Unpatched Software,Firewall,29,871655.04
Brazil,2015,DDoS,IT,43.51,940656,Unknown,Weak Passwords,AI-based Detection,41,940699.51
USA,2015,Ransomware,Telecommunications,20.73,297209,Nation-state,Social Engineering,Firewall,66,297229.73
UK,2019,Phishing,IT,78.19,28321,Insider,Unpatched Software,Antivirus,63,28399.19
Brazil,2022,Phishing,Telecommunications,29.02,456783,Nation-state,Zero-day,Encryption,10,456812.02
Germany,2018,Ransomware,Banking,87.56,933028,Nation-state,Unpatched Software,VPN,25,933115.56
Australia,2023,Phishing,Telecommunications,24.65,221512,Nation-state,Zero-day,AI-based Detection,56,221536.65
France,2017,Phishing,Banking,17.88,16585,Hacker Group,Unpatched Software,Encryption,12,16602.88
USA,2022,Ransomware,Education,21.01,787752,Nation-state,Weak Passwords,Antivirus,9,787773.01
Russia,2022,SQL Injection,Banking,60.25,662517,Unknown,Social Engineering,Firewall,40,662577.25
Brazil,2018,Malware,Education,6.63,274509,Hacker Group,Zero-day,Encryption,20,274515.63
France,2024,Phishing,Government,5.8,508649,Hacker Group,Unpatched Software,Firewall,66,508654.8
Brazil,2021,DDoS,IT,70.26,740257,Unknown,Weak Passwords,Encryption,70,740327.26
Australia,2024,Malware,Healthcare,62.08,969504,Hacker Group,Social Engineering,AI-based Detection,5,969566.08
Germany,2016,Man-in-the-Middle,Healthcare,90.2,779494,Nation-state,Social Engineering,AI-based Detection,54,779584.2
Japan,2019,Malware,Banking,44.17,605166,Insider,Weak Passwords,Encryption,27,605210.17
